id_moneda;moneda;valor_moneda_dolar
NULL;AFGANI;0.011
NULL;ARIARI;0.00023
NULL;BAT;0.029
NULL;BIR;0.019
NULL;BOLIVAR VENEZOLANO;0.04
NULL;BOLIVIANO;0.14
NULL;CATARI;0.27
NULL;CEDI;0.079
NULL;CHELIN AUSTRIACO;0.0985
NULL;CHELIN KENIANO;0.0078
NULL;CHELIN SOMALI;0.0018
NULL;CHELIN TANZANO;0.00043
NULL;CHELIN UGANDES;0.00027
NULL;COLON COSTARRICENSE;0.0018
NULL;CORDOBA ORO;0.027
NULL;CORONA CHECA;0.045
NULL;CORONA DANESA;0.14
NULL;CORONA ESTONIA;0.066
NULL;CORONA ISLANDESA;0.0071
NULL;CORONA NORUEGA;0.096
NULL;CORONA SUECA;0.096
NULL;DALASI;0.016
NULL;DINAR ARGELINO;0.0073
NULL;DINAR BAREINI;2.65
NULL;DINAR IRAQUI;0.00068
NULL;DINAR JORDANO;1.41
NULL;DINAR KUWAITI;3.26
NULL;DINAR LIBIO;0.21
NULL;DINAR MACEDONIO;0.017
NULL;DINAR SERBIO;0.0091
NULL;DINAR TUNECINO;0.32
NULL;DIRHAM;0.27
NULL;DIRHAM MARROQUI;0.096
NULL;DOBRA SANTOTOMENSE;0.04
NULL;DOLAR;1
NULL;DOLAR AMERICANO;1
NULL;DOLAR AUSTRALIANO;0.67
NULL;DOLAR BAHAMEÑO;1
NULL;DOLAR BARBADENSE;0.5
NULL;DOLAR BELICEÑO;0.5
NULL;DOLAR CANADIENSE;0.73
NULL;DOLAR DE BRUNEI;0.75
NULL;DOLAR DE TRINIDAD Y TOBAGO;0.15
NULL;DOLAR DEL CARIBE ORIENTAL;0.37
NULL;DOLAR FIYIANO;0.45
NULL;DOLAR GUYANES;0.95
NULL;DOLAR JAMAICANO;0.0065
NULL;DOLAR LIBERIANO;0.0063
NULL;DOLAR NAMIBIO;0.055
NULL;DOLAR NEOZELANDES;0.62
NULL;DOLAR SALOMONENSE;0.12
NULL;DOLAR SINGAPURENSE;0.74
NULL;DOLAR SURINAMES;0.03
NULL;DONG;0.000042
NULL;DRAM;0.0026
