id_pais;pais;capital;id_continente;id_idioma;id_gobierno;id_moneda;habitantes;habitantes_mujeres;habitantes_hombres;esperanza_de_vida_m;esperanza_de_vida_h
NULL;AFGANISTAN;KABUL;3;20;10;1;39835428;19400447;20434981;67;63.71
NULL;ALBANIA;TIRANA;4;1;12;87;2876180;1436517;1439663;80;75.2
NULL;ALEMANIA;BERLIN;4;2;12;57;83319091;42352400;40966691;83;78.6
NULL;ANDORRA;ANDORRA LA VIEJA;4;14;5;57;76127;37338;38789;92;88.4
NULL;ANGOLA;LUANDA;1;72;13;84;33404341;17143471;16260870;64;58.74
NULL;ANTIGUA Y BARBUDA;SAINT JHON;2;45;5;44;98727;51052;47675;78;75.98
NULL;ARABIA SAUDITA;RIAD;3;5;4;125;35340679;20437515;14903164;48;44.19
NULL;ARGELIA;ARGELIA;1;5;14;23;44616626;22075165;22541461;78;75.86
NULL;ARGENTINA;BUENOS AIRES;2;25;13;111;47270614;25003069;22267545;80;73.41
NULL;ARMENIA;EREVAN;3;9;12;55;2968128;1572135;1395993;78.65;71.45
NULL;AUSTRALIA;CANBERRA;5;45;5;37;25739256;12922434;12816822;85.3;81.2
NULL;AUSTRIA;VIENA;4;2;12;9;8914484;4535712;4378772;84;80
NULL;AZERBAIYAN;BAKU;3;10;14;104;10135668;5065288;5070380;75.57;70.63
NULL;BAHAMAS;NASAU;2;45;5;38;396930;204013;192917;76.23;71.78
NULL;BANGLADES;DACA;3;11;12;43;163831490;80572382;83259108;74.89;71.13
NULL;BARBADOS;BRIDGETOWN;2;45;12;39;287708;148359;139349;80.58;77.96
NULL;BAREIN;MANAMA;3;5;5;24;1765213;660495;1104718;78.56;76.56
NULL;BELGICA;BRUSELAS;4;66;7;57;11535518;5854293;5681225;84.4;79.5
NULL;BELICE;BELMOPAN;2;45;5;40;415109;213854;201255;77.99;71.76
NULL;BENIN;PORTO NOVO;1;31;13;72;12451031;6230889;6220142;63.65;60.49
NULL;BIELORRUSIA;MINSK;4;75;13;129;9362933;5012881;4350052;79.4;69.3
NULL;BIRMANIA/MYANMAR;NAIPYIDO;3;12;12;85;54806013;28394995;26411018;70.34;64.28
NULL;BOLIVIA;SUCRE;2;25;13;6;11832936;5896513;5936423;75;68
NULL;BOSNIA Y HERZEGOVINA;SARAJEVO;4;77;12;105;3282431;1665632;1616799;80;75
NULL;BOTSUANA;GABORONE;1;45;12;119;2397239;1150675;1246564;73;67
NULL;BRASIL;BRASILIA;2;72;13;122;213993441;108891925;105101516;80;73
NULL;BRUNEI;BANDAR SERI BEGAWAN;3;58;4;42;441896;212948;228948;77;75
NULL;BULGARIA;SOFIA;4;13;12;92;6916548;3566833;3349715;75;68
NULL;BURKINA FASO;UAGADUGU;1;31;14;72;22100684;11089986;11010698;63;61
NULL;BURUNDI;GITEGA;1;31;13;68;12551213;6319427;6231786;64;60
NULL;BUTAN;TIMBU;3;22;5;133;777486;365818;411668;73;72
NULL;CABO VERDE;PRAIA;1;72;14;56;883505;295580;587925;76;70
NULL;CAMBOYA;NOM PEN;3;52;7;127;16589024;8376956;8212068;72;68
NULL;CAMERUN;YAUNDE;1;33;13;71;27198628;13634397;13564231;61;58
NULL;CANADA;OTTAWA;2;46;5;41;38929902;19572198;19357704;84;80
NULL;CATAR;DOHA;3;5;4;7;2688236;734561;1953675;81;78
NULL;REPUBLICA CENTROAFRICANA;BANGUI;1;31;14;71;5457155;2728875;2728280;56;52
NULL;CHAD;YAMENA;1;31;13;71;17179740;8556210;8623530;56;53
NULL;REPUBLICA CHECA;PRAGA;4;15;12;16;10494835;5321931;5172904;82;76
NULL;CHILE;SANTIAGO DE CHILE;2;25;13;112;19493185;9818163;9675022;82;77
NULL;CHINA;PEKIN;3;61;3;152;1412360000;691219627;721140373;79;75
NULL;CHIPRE;NICOSIA;4;39;13;57;896007;458357;437650;84;80
NULL;COLOMBIA;BOGOTA;2;25;13;113;51516563;26101321;25415242;80;75
NULL;COMORAS;MORONI;1;16;13;69;821626;408923;412703;66;63
NULL;REPUBLICA DEL CONGO;BRAZZAVILLE;1;31;14;70;5835806;2921372;2914434;63;60
NULL;REPUBLICA DEMOCRATICA DEL CONGO;KINSASA;1;31;14;70;95894119;48319268;47574851;63;59
NULL;COREA DEL NORTE;PIONYANG;3;17;3;149;25971909;13127524;12844385;76;69
NULL;COREA DEL SUR;SEUL;3;17;13;150;51744876;25902500;25842376;87;81
NULL;COSTA DE MARFIL;YAMUSUKRO;1;31;13;72;27478249;13600535;13877714;60;57
NULL;COSTA RICA;SAN JOSE;2;25;13;14;5153957;2575216;2578741;83;78
NULL;CROACIA;ZAGREB;4;18;12;58;4036355;2071425;1964930;80;74
NULL;CUBA;LA HABANA;2;25;3;114;11256372;5667114;5589258;81;77
NULL;DINAMARCA;COPENHAGUE;4;19;7;17;5840045;2935188;2904857;83;80
NULL;DOMINICA;ROSEAU;2;45;12;44;72412;36373;36039;78;71
NULL;REPUBLICA DOMINICANA;SANTO DOMINGO;2;25;13;115;95894119;48319268;47574851;78;72
NULL;ECUADOR;QUITO;2;25;13;35;17797738;8910903;8886835;80;75
NULL;EGIPTO;EL CAIRO;1;5;14;93;109262178;54001891;55260287;75;70
NULL;EL SALVADOR;SAN SALVADOR;2;25;13;35;6314168;3307476;3006692;68;77
NULL;EMIRATOS ARABES UNIDOS;ABU DABI;3;5;6;32;9365145;2853108;6512037;78;76
NULL;ERITREA;ASMARA;1;6;15;108;3620312;1834472;1785840;69;64
NULL;ESLOVAQUIA;BRATISLAVA;4;23;12;57;5459781;2793295;2666486;78;71
NULL;ESLOVENIA;LIUBLIANA;4;24;12;59;2108977;1049039;1059938;84;78
NULL;ESPAÑA;MADRID;4;25;7;57;47615034;24304407;23310627;86;80
NULL;ESTADOS UNIDOS;WASHINGTON DC;2;25;13;36;331893745;167480460;164413285;79;73
NULL;ESTONIA;TALLIN;4;27;12;18;1330068;699153;630915;81;72
NULL;ETIOPIA;ADIS ADEBA;1;4;12;4;120283026;59839622;60443404;69;65
NULL;FILIPINAS;MANILA;3;28;13;116;113880328;56062865;57817463;76;67
NULL;FINLANDIA;HELSINKI;4;29;12;60;5533793;2799985;2733808;85;79
NULL;FIYI;SUVA;5;30;12;45;924609;460926;463683;70;66
NULL;FRANCIA;PARIS;4;31;14;61;67656682;34939338;32717344;86;80
NULL;GABON;LIBREVILLE;1;31;13;71;2341178;1148767;1192411;69;65
NULL;GAMBIA;BANJUL;1;45;13;22;2639915;1326796;1313119;63;61
NULL;GEORGIA;TIFLIS;3;35;14;86;3.708.610;1.964.929;1.743.681;78;70
NULL;GHANA;ACRA;1;45;13;8;32833032;16457496;16375536;65;63
NULL;GRANADA;SAINT GEORGE;2;45;5;44;124610;62254;62356;75;70
NULL;GRECIA;ATENAS;4;38;12;107;10678632;5482584;5196048;84;79
NULL;GUATEMALA;CIUDAD DE GUATEMALA;2;25;13;120;17109746;8639673;8470073;77;72
NULL;GUINEA;CONAKRY;1;31;13;76;13531906;6846006;6685900;62;61
NULL;GUINEA - BISAU;BISAU;1;72;14;72;2060721;1043505;1017216;61;57
NULL;GUINEA ECUATORIAL;MALABO;1;26;13;71;1634466;771091;863375;63;61
NULL;GUYANA;GEORGETOWN;2;45;13;46;804567;410932;393635;73;67
NULL;HAITI;PUERTO PRINCIPE;2;31;14;79;11447568;5774718;5672850;67;62
NULL;HONDURAS;TEGUCIGALPA;2;25;13;88;10278346;5087643;5190703;78;73
NULL;HUNGRIA;BUDAPEST;4;42;12;67;9730772;5066978;4663794;80;73
